	frac_text	positives	precision	prob	recall	total
0	0/4	0	0.0	0.4	0.0	4
1	12/45	12	0.26666666666666666	0.3	0.048582995951417005	45
2	50/150	50	0.3333333333333333	0.2	0.20242914979757085	150
3	114/562	114	0.20284697508896798	0.1	0.46153846153846156	562
4	161/1720	161	0.0936046511627907	0.05	0.6518218623481782	1720
5	224/14593	224	0.015349825258685671	0.01	0.9068825910931174	14593
6	237/23805	237	0.009955891619407688	0.005	0.9595141700404858	23805
7	246/38296	246	0.0064236473783162735	0.001	0.9959514170040485	38296
8	247/41309	247	0.005979326539010869	0.0005	1.0	41309
9	247/41309	247	0.005979326539010869	0.0001	1.0	41309
10	247/43967	247	0.005617849750949576	0.0	1.0	43967
